ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
FAHH,small_airport,Hibberdene Airport,"30.520000457763672, -30.6299991607666",89,AF,ZA,ZA-NL,Hibberdene,FAHH,,
FAHI,small_airport,Halfweg Airport,"20.13920021057129, -30.0132999420166",3159,AF,ZA,ZA-NC,Halfweg,FAHI,,
FAHJ,small_airport,Harding Airport,"29.88330078125, -30.566699981689453",2890,AF,ZA,ZA-NL,Harding,FAHJ,,
FAHK,small_airport,Haakdoornboom Airport,"28.115800857543945, -25.587200164794922",4055,AF,ZA,ZA-GT,Haakdoornboom,FAHK,,
FAHL,small_airport,Hluhluwe Airport,"32.2751712799, -28.0166049887",249,AF,ZA,ZA-NL,Hluhluwe,FAHL,HLW,
FAHM,closed,Hermanus Airport,"19.184074, -34.415276",72,AF,ZA,ZA-WC,Hermanus,FAHM,,
FAHO,small_airport,Heilbron Airport,"27.9955997467041, -27.278600692749023",5200,AF,ZA,ZA-FS,Heilbron,FAHO,,
FAHP,small_airport,Hoopstad Airport,"25.916900634765625, -27.821699142456055",4131,AF,ZA,ZA-FS,Hoopstad,FAHP,,
FAHR,medium_airport,Harrismith Airport,"29.106199264526367, -28.23509979248047",5585,AF,ZA,ZA-FS,Harrismith,FAHR,HRS,
FAHS,small_airport,Hoedspruit Air Force Base Airport,"31.0487003326, -24.368600845299998",1743,AF,ZA,ZA-NP,Hoedspruit,FAHS,HDS,
FAHT,small_airport,Hoedspruit Airport,"30.949399948120117, -24.351699829101562",1801,AF,ZA,ZA-NP,Hoedspruit,FAHT,,
FAHU,small_airport,H M S Bastard Memorial Airport,"29.499000549316406, -30.542499542236328",4701,AF,ZA,ZA-NL,H.M.S.Bastard Memorial,FAHU,,
FAHV,small_airport,Gariep Dam Airport,"25.52829933166504, -30.56220054626465",4176,AF,ZA,ZA-FS,Hendrik Verwoerd dam,FAHV,,
FAIA,small_airport,Itala Airport,"31.171100616455078, -27.4867000579834",2665,AF,ZA,ZA-NL,Itala,FAIA,,
FAID,small_airport,Idutywa Airport,"28.316699981689453, -32.099998474121094",2530,AF,ZA,ZA-EC,Idutywa,FAID,,
FAIO,closed,Odi Airport,"27.933000564599997, -25.5499992371",3862,AF,ZA,ZA-NW,Lerulaneng,FAIO,,
FAIS,small_airport,Isithebe Airport,"31.407499313354492, -29.10555648803711",313,AF,ZA,ZA-NL,Nyoni,FAIS,,
FAIV,small_airport,Ingwavuma Airport,"32.00870132446289, -27.11709976196289",2100,AF,ZA,ZA-NL,Ingwavuma,FAIV,,
FAIW,small_airport,Indwe Airport,"27.350000381469727, -31.483333587646484",4167,AF,ZA,ZA-EC,Indwe,FAIW,,
